gene	donor_id	sample_id	development_stage	sex	cell_type	n_cells	n_detected	detection_fraction
LOXL3	C40	C40_TH_TOT_1	organogenesis stage	female	cortical thymic epithelial cell	2628	8	0.00304414
LOXL3	C40	C40_TH_TOT_1	organogenesis stage	female	epithelial cell of thymus	4	0	0
LOXL3	C40	C40_TH_TOT_1	organogenesis stage	female	medullary thymic epithelial cell	178	1	0.00561798
LOXL3	C40	C40_TH_TOT_2	organogenesis stage	female	cortical thymic epithelial cell	2774	11	0.00396539
LOXL3	C40	C40_TH_TOT_2	organogenesis stage	female	epithelial cell of thymus	3	0	0
LOXL3	C40	C40_TH_TOT_2	organogenesis stage	female	medullary thymic epithelial cell	211	3	0.014218
LOXL3	C41	C41_TH_TOT_1	organogenesis stage	male	cortical thymic epithelial cell	1754	5	0.00285063
LOXL3	C41	C41_TH_TOT_1	organogenesis stage	male	epithelial cell of thymus	35	0	0
LOXL3	C41	C41_TH_TOT_1	organogenesis stage	male	medullary thymic epithelial cell	19	1	0.0526316
LOXL3	C41	C41_TH_TOT_2	organogenesis stage	male	cortical thymic epithelial cell	1774	8	0.00450958
LOXL3	C41	C41_TH_TOT_2	organogenesis stage	male	epithelial cell of thymus	32	0	0
LOXL3	C41	C41_TH_TOT_2	organogenesis stage	male	medullary thymic epithelial cell	30	0	0
LOXL3	F21	F21_TH_45N	16th week post-fertilization stage	male	cortical thymic epithelial cell	7	0	0
LOXL3	F21	F21_TH_45N	16th week post-fertilization stage	male	medullary thymic epithelial cell	40	0	0
LOXL3	F22	F22_TH_TOT	10th week post-fertilization stage	female	cortical thymic epithelial cell	8	0	0
LOXL3	F22	F22_TH_TOT	10th week post-fertilization stage	female	medullary thymic epithelial cell	9	0	0
LOXL3	F30	F30_TH_45N	15th week post-fertilization stage	male	cortical thymic epithelial cell	7	0	0
LOXL3	F30	F30_TH_45N	15th week post-fertilization stage	male	medullary thymic epithelial cell	13	0	0
LOXL3	F38	F38_TH_45N_1	13th week post-fertilization stage	male	medullary thymic epithelial cell	12	0	0
LOXL3	F38	F38_TH_45N_2	13th week post-fertilization stage	male	medullary thymic epithelial cell	13	0	0
LOXL3	F41	F41_TH_45N	17th week post-fertilization stage	female	medullary thymic epithelial cell	4	0	0
LOXL3	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	medullary thymic epithelial cell	7	0	0
LOXL3	F45	F45_TH_45N	12th week post-fertilization stage	female	medullary thymic epithelial cell	4	0	0
LOXL3	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	medullary thymic epithelial cell	9	1	0.111111
LOXL3	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	cortical thymic epithelial cell	3	0	0
LOXL3	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	medullary thymic epithelial cell	6	1	0.166667
LOXL3	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	cortical thymic epithelial cell	4	0	0
LOXL3	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	medullary thymic epithelial cell	3	0	0
LOXL3	F67	F67_TH_TOT_5GEX_1	12th week post-fertilization stage	female	medullary thymic epithelial cell	1	0	0
LOXL3	F67	F67_TH_TOT_5GEX_2	12th week post-fertilization stage	female	medullary thymic epithelial cell	1	0	0
LOXL3	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	cortical thymic epithelial cell	1	0	0
LOXL3	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	medullary thymic epithelial cell	5	0	0
LOXL3	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	cortical thymic epithelial cell	2	0	0
LOXL3	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	medullary thymic epithelial cell	3	1	0.333333
LOXL3	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	cortical thymic epithelial cell	16	1	0.0625
LOXL3	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	medullary thymic epithelial cell	15	0	0
LOXL3	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	cortical thymic epithelial cell	5	0	0
LOXL3	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	medullary thymic epithelial cell	10	2	0.2
LOXL3	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	cortical thymic epithelial cell	34	0	0
LOXL3	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	medullary thymic epithelial cell	450	4	0.00888889
LOXL3	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	cortical thymic epithelial cell	235	1	0.00425532
LOXL3	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	medullary thymic epithelial cell	1809	19	0.010503
LOXL3	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	cortical thymic epithelial cell	30	0	0
LOXL3	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	medullary thymic epithelial cell	110	0	0
LOXL3	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	cortical thymic epithelial cell	18	0	0
LOXL3	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	medullary thymic epithelial cell	81	0	0
LOXL4	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	cortical thymic epithelial cell	21	0	0
LOXL4	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	medullary thymic epithelial cell	2225	61	0.0274157
LOXL4	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	cortical thymic epithelial cell	18	0	0
LOXL4	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	medullary thymic epithelial cell	2278	57	0.0250219
LOXL4	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	cortical thymic epithelial cell	2	0	0
LOXL4	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	medullary thymic epithelial cell	74	4	0.0540541
LOXL4	A43	A43_TH_TOT_5GEX_2	fourth decade stage	male	medullary thymic epithelial cell	4	1	0.25
LOXL4	A45	A45_TH_45NM_5GEX	15-19 year-old	male	medullary thymic epithelial cell	191	7	0.0366492
LOXL4	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	medullary thymic epithelial cell	1218	25	0.0205255
LOXL4	A45	A45_TH_TOT_5GEX	15-19 year-old	male	medullary thymic epithelial cell	13	0	0
LOXL4	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	cortical thymic epithelial cell	60	0	0
LOXL4	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	medullary thymic epithelial cell	3	0	0
LOXL4	C40	C40_TH_TOT_1	organogenesis stage	female	cortical thymic epithelial cell	2628	18	0.00684932
LOXL4	C40	C40_TH_TOT_1	organogenesis stage	female	epithelial cell of thymus	4	0	0
LOXL4	C40	C40_TH_TOT_1	organogenesis stage	female	medullary thymic epithelial cell	178	2	0.011236
