analysis_group	gene	age_week	n_cells	n_sort_day_samples	mean_log2_norm_plus1	median_log2_norm_plus1	detection_rate	n_biological_samples_if_available	age_label	replicate_definition
mTEClo	Loxl2	52	136	4	0.11042675130686133	0.0	0.029411764705882353		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl3	1	92	5	1.2697416352148996	0.0	0.20652173913043478		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl3	4	132	5	1.0397646304152464	0.0	0.18181818181818182		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl3	16	93	5	1.612759050258431	0.0	0.22580645161290322		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl3	32	129	5	1.3406729418269694	0.0	0.20930232558139536		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl3	52	136	4	1.22390429233928	0.0	0.16911764705882354		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl4	1	92	5	3.476611522530937	4.474867992952451	0.6847826086956522		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl4	4	132	5	3.357338699029683	3.347108985338383	0.553030303030303		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl4	16	93	5	2.9144227793740254	0.546115471833342	0.5161290322580645		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl4	32	129	5	3.1915442547538584	3.1415077814114807	0.5503875968992248		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl4	52	136	4	2.6492362756662935	0.0	0.47794117647058826		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
