gene	development_stage	cell_type_level_2	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOXL3	24th week post-fertilization stage	mTEC-mimetic	1	2	2	926	0.0150273	0.0150273	not_generated	not_generated
LOXL3	24th week post-fertilization stage	mcTEC	1	2	2	540	0	0	not_generated	not_generated
LOXL3	24th week post-fertilization stage	see_lv4_explore	1	2	2	49	0	0	not_generated	not_generated
LOXL3	3-month-old stage	cTEC	1	3	3	470	0	0	not_generated	not_generated
LOXL3	3-month-old stage	mTEC	1	3	3	1250	0	0.00231683	not_generated	not_generated
LOXL3	3-month-old stage	mTEC-mimetic	1	2	2	27	0.04	0.04	not_generated	not_generated
LOXL3	3-month-old stage	mcTEC	1	3	3	274	0	0.00398407	not_generated	not_generated
LOXL3	6-month-old stage	cTEC	3	7	7	2677	0	0.00244699	not_generated	not_generated
LOXL3	6-month-old stage	mTEC	3	7	7	1382	0.00877193	0.00834522	not_generated	not_generated
LOXL3	6-month-old stage	mTEC-mimetic	3	7	7	1957	0.0307692	0.0251215	not_generated	not_generated
LOXL3	6-month-old stage	mcTEC	3	7	7	132	0	0.0031746	not_generated	not_generated
LOXL3	6-month-old stage	see_lv4_explore	1	1	1	1	0	0	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	cTEC	2	4	4	2330	0.0021398	0.00305854	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	mTEC	2	4	4	1367	0	0.00197715	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	mTEC-mimetic	2	4	4	130	0	0	not_generated	not_generated
LOXL3	newborn stage (0-28 days)	mcTEC	2	4	4	2556	0.00127227	0.00306669	not_generated	not_generated
LOXL4	10-month-old stage	cTEC	1	2	2	275	0.00440529	0.00440529	not_generated	not_generated
LOXL4	10-month-old stage	mTEC	1	2	2	645	0.0272147	0.0272147	not_generated	not_generated
LOXL4	10-month-old stage	mTEC-mimetic	1	2	2	102	0.0460527	0.0460527	not_generated	not_generated
LOXL4	10-month-old stage	mcTEC	1	2	2	224	0.0810185	0.0810185	not_generated	not_generated
LOXL4	12th week post-fertilization stage	cTEC	2	3	3	9	0	0	not_generated	not_generated
LOXL4	12th week post-fertilization stage	mTEC	1	2	2	2	0	0	not_generated	not_generated
LOXL4	12th week post-fertilization stage	mcTEC	2	3	3	10	0	0	not_generated	not_generated
LOXL4	13th week post-fertilization stage	cTEC	2	2	2	2	0	0	not_generated	not_generated
LOXL4	13th week post-fertilization stage	mTEC	2	2	2	8	0	0	not_generated	not_generated
LOXL4	13th week post-fertilization stage	mTEC-mimetic	2	2	2	4	0	0	not_generated	not_generated
LOXL4	13th week post-fertilization stage	mcTEC	1	1	1	2	0	0	not_generated	not_generated
LOXL4	14th week post-fertilization stage	cTEC	1	1	1	1	0	0	not_generated	not_generated
LOXL4	14th week post-fertilization stage	mTEC	1	2	2	19	0	0	not_generated	not_generated
LOXL4	14th week post-fertilization stage	mTEC-mimetic	1	2	2	4	0	0	not_generated	not_generated
LOXL4	15th week post-fertilization stage	cTEC	1	1	1	4	0	0	not_generated	not_generated
LOXL4	15th week post-fertilization stage	mTEC	1	1	1	9	0	0	not_generated	not_generated
LOXL4	15th week post-fertilization stage	mTEC-mimetic	1	1	1	3	0	0	not_generated	not_generated
LOXL4	15th week post-fertilization stage	mcTEC	1	1	1	5	0	0	not_generated	not_generated
LOXL4	17th week post-fertilization stage	cTEC	1	1	1	7	0	0	not_generated	not_generated
LOXL4	17th week post-fertilization stage	mTEC	1	1	1	22	0.0454545	0.0454545	not_generated	not_generated
LOXL4	17th week post-fertilization stage	mTEC-mimetic	1	1	1	11	0	0	not_generated	not_generated
LOXL4	17th week post-fertilization stage	mcTEC	1	1	1	3	0	0	not_generated	not_generated
LOXL4	18th week post-fertilization stage	cTEC	1	1	1	87	0	0	not_generated	not_generated
LOXL4	18th week post-fertilization stage	mTEC	1	1	1	175	0.0628571	0.0628571	not_generated	not_generated
LOXL4	18th week post-fertilization stage	mTEC-mimetic	1	1	1	8	0	0	not_generated	not_generated
LOXL4	18th week post-fertilization stage	mcTEC	1	1	1	164	0.0121951	0.0121951	not_generated	not_generated
LOXL4	2-year-old stage	mTEC	1	1	1	3	0	0	not_generated	not_generated
LOXL4	2-year-old stage	mTEC-mimetic	1	1	1	1	0	0	not_generated	not_generated
LOXL4	2-year-old stage	mcTEC	1	1	1	4	0.25	0.25	not_generated	not_generated
LOXL4	20th week post-fertilization stage	cTEC	1	1	1	3157	0.00253405	0.00253405	not_generated	not_generated
LOXL4	20th week post-fertilization stage	mTEC	1	1	1	974	0.00924025	0.00924025	not_generated	not_generated
LOXL4	20th week post-fertilization stage	mTEC-mimetic	1	1	1	131	0	0	not_generated	not_generated
LOXL4	20th week post-fertilization stage	mcTEC	1	1	1	2432	0.00287829	0.00287829	not_generated	not_generated
LOXL4	20th week post-fertilization stage	see_lv4_explore	1	1	1	16	0	0	not_generated	not_generated
LOXL4	24th week post-fertilization stage	cTEC	1	2	2	429	0.00268817	0.00268817	not_generated	not_generated
LOXL4	24th week post-fertilization stage	mTEC	1	2	2	706	0	0	not_generated	not_generated
LOXL4	24th week post-fertilization stage	mTEC-mimetic	1	2	2	926	0.00213675	0.00213675	not_generated	not_generated
LOXL4	24th week post-fertilization stage	mcTEC	1	2	2	540	0.00551125	0.00551125	not_generated	not_generated
LOXL4	24th week post-fertilization stage	see_lv4_explore	1	2	2	49	0	0	not_generated	not_generated
LOXL4	3-month-old stage	cTEC	1	3	3	470	0	0.00260417	not_generated	not_generated
LOXL4	3-month-old stage	mTEC	1	3	3	1250	0.0625543	0.053255	not_generated	not_generated
LOXL4	3-month-old stage	mTEC-mimetic	1	2	2	27	0.29	0.29	not_generated	not_generated
LOXL4	3-month-old stage	mcTEC	1	3	3	274	0	0.0305445	not_generated	not_generated
LOXL4	6-month-old stage	cTEC	3	7	7	2677	0	0.00158192	not_generated	not_generated
LOXL4	6-month-old stage	mTEC	3	7	7	1382	0.026087	0.029779	not_generated	not_generated
LOXL4	6-month-old stage	mTEC-mimetic	3	7	7	1957	0.0322581	0.0410897	not_generated	not_generated
LOXL4	6-month-old stage	mcTEC	3	7	7	132	0	0.0198	not_generated	not_generated
LOXL4	6-month-old stage	see_lv4_explore	1	1	1	1	0	0	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	cTEC	2	4	4	2330	0.00142654	0.00270191	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	mTEC	2	4	4	1367	0.0331294	0.0256556	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	mTEC-mimetic	2	4	4	130	0.0142857	0.0466166	not_generated	not_generated
LOXL4	newborn stage (0-28 days)	mcTEC	2	4	4	2556	0.0356358	0.267818	not_generated	not_generated
