gene	donor_id	sample	development_stage	sex	cell_type_level_4_explore	n_cells	n_detected	detection_fraction	matrix_used
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mcTEC	246	4	0.0162602	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mcTEC-Prolif	31	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	TEC-cilliated	62	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	TEC-myo	222	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	TEC-neuro	174	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	TEC-tuft	26	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	cTECI	229	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	cTECII	14	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTECI	59	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTECI-trans	150	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTECII	53	1	0.0188679	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTECIII	105	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mcTEC	237	4	0.0168776	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mcTEC-Prolif	26	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	TEC-cilliated	7	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	TEC-myo	9	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	TEC-neuro	10	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	cTECI	2	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	cTECII	17	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	cTECIII	29	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	mTECI	10	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	mTECI-trans	1	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	mTECII	10	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	mTECIII	113	3	0.0265487	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	mcTEC	8	1	0.125	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	TEC-cilliated	14	0	0	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	TEC-myo	43	1	0.0232558	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	TEC-neuro	19	0	0	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	cTECI	107	1	0.00934579	X
