gene	donor_id	sample_id	development_stage	sex	celltypes	n_cells	n_detected	detection_fraction
LOXL1	F38	F38_TH_45N_1	13th week post-fertilization stage	male	mTEC(I)	9	0	0
LOXL1	F38	F38_TH_45N_2	13th week post-fertilization stage	male	TEC(myo)	1	0	0
LOXL1	F38	F38_TH_45N_2	13th week post-fertilization stage	male	TEC(neuro)	1	0	0
LOXL1	F38	F38_TH_45N_2	13th week post-fertilization stage	male	mTEC(I)	8	0	0
LOXL1	F38	F38_TH_45N_2	13th week post-fertilization stage	male	mTEC(II)	3	0	0
LOXL1	F41	F41_TH_45N	17th week post-fertilization stage	female	TEC(myo)	2	0	0
LOXL1	F41	F41_TH_45N	17th week post-fertilization stage	female	mTEC(I)	1	0	0
LOXL1	F41	F41_TH_45N	17th week post-fertilization stage	female	mcTEC	1	0	0
LOXL1	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	TEC(myo)	2	0	0
LOXL1	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	TEC(neuro)	2	0	0
LOXL1	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	mTEC(II)	1	0	0
LOXL1	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	mcTEC	2	0	0
LOXL1	F45	F45_TH_45N	12th week post-fertilization stage	female	TEC(neuro)	1	0	0
LOXL1	F45	F45_TH_45N	12th week post-fertilization stage	female	mTEC(I)	2	0	0
LOXL1	F45	F45_TH_45N	12th week post-fertilization stage	female	mcTEC	1	0	0
LOXL1	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	TEC(neuro)	2	0	0
LOXL1	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	mTEC(I)	4	0	0
LOXL1	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	mTEC(II)	1	0	0
LOXL1	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	mcTEC	2	0	0
LOXL1	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	cTEC	3	0	0
LOXL1	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	mTEC(I)	1	0	0
LOXL1	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	mTEC(IV)	1	0	0
LOXL1	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	mcTEC	4	0	0
LOXL1	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	TEC(neuro)	2	0	0
LOXL1	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	cTEC	4	0	0
LOXL1	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	mTEC(I)	1	1	1
LOXL1	F67	F67_TH_TOT_5GEX_1	12th week post-fertilization stage	female	mTEC(I)	1	0	0
LOXL1	F67	F67_TH_TOT_5GEX_2	12th week post-fertilization stage	female	mTEC(III)	1	0	0
LOXL1	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	TEC(neuro)	2	1	0.5
LOXL1	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	cTEC	1	0	0
LOXL1	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	mcTEC	3	1	0.333333
LOXL1	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	cTEC	2	0	0
LOXL1	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	mTEC(I)	2	0	0
LOXL1	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	mTEC(II)	1	0	0
LOXL1	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	TEC(neuro)	1	0	0
LOXL1	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	cTEC	16	4	0.25
LOXL1	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mTEC(I)	1	0	0
LOXL1	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mTEC(II)	1	0	0
LOXL1	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mcTEC	12	0	0
LOXL1	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	TEC(myo)	2	0	0
LOXL1	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	cTEC	5	1	0.2
